no,waktu_terima_lokal,seq,ts_epoch_ms,tr_epoch_ms,delay_ms,jitter_ms,delay_valid,time_synced,packet_lost_before_this,n_sent_sejauh_ini,n_received_sejauh_ini,payload_size_bytes,payload_size_bit,elapsed_time_sec,throughput_bps,lat_raw,lon_raw,lat_kf,lon_kf,nav_mode,delivery_status,speed,pwm_l,pwm_r,battery
65,2026-07-10 16:50:38.828,458,1783677038000.0,1783677038827.52,827.52001953125,216.964111328125,True,True,0,65,65,851,6808,16.262679931640626,26671.126888263283,-7.051074,110.3992,-7.051077,110.3993,1,DELIVERY,0.192,24,24,12.74
66,2026-07-10 16:50:39.039,459,1783677039000.0,1783677039038.733,38.73291015625,788.787109375,True,True,0,66,66,859,6872,16.473892822265626,26746.319449430706,-7.051071,110.3992,-7.051077,110.3993,1,DELIVERY,0.17,81,66,12.74
67,2026-07-10 16:50:39.236,460,1783677039000.0,1783677039236.104,236.10400390625,197.37109375,True,True,0,67,67,855,6840,16.671263916015626,26839.956601619226,-7.051071,110.3992,-7.051077,110.3993,1,DELIVERY,0.17,82,65,12.74
68,2026-07-10 16:50:39.438,461,1783677039000.0,1783677039437.962,437.9619140625,201.85791015625,True,True,0,68,68,858,6864,16.873121826171875,26925.663471196236,-7.051071,110.3992,-7.051076,110.3993,1,DELIVERY,0.178,80,66,12.74
69,2026-07-10 16:50:39.645,462,1783677039000.0,1783677039644.67,644.669921875,206.7080078125,True,True,0,69,69,856,6848,17.079829833984373,27000.73738922134,-7.051071,110.3992,-7.051076,110.3993,1,DELIVERY,0.178,80,66,12.74
70,2026-07-10 16:50:40.155,464,1783677040000.0,1783677040155.334,155.333984375,489.3359375,True,True,0,70,70,854,6832,17.590493896484375,26605.279121442643,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.15,81,66,12.74
71,2026-07-10 16:50:40.262,465,1783677040000.0,1783677040261.996,261.99609375,106.662109375,True,True,0,71,71,854,6832,17.697156005859377,26830.977804726772,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.15,81,65,12.74
72,2026-07-10 16:50:40.464,466,1783677040000.0,1783677040464.024,464.02392578125,202.02783203125,True,True,0,72,72,846,6768,17.899183837890625,26906.25474109636,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.154,81,65,12.74
73,2026-07-10 16:50:40.668,467,1783677040000.0,1783677040667.83,667.830078125,203.80615234375,True,True,0,73,73,847,6776,18.102989990234374,26977.64293431381,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.154,81,65,12.74
74,2026-07-10 16:50:41.090,469,1783677041000.0,1783677041089.95,89.949951171875,577.880126953125,True,True,0,74,74,851,6808,18.52510986328125,26730.421771020512,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.141,75,66,12.74
75,2026-07-10 16:50:41.259,470,1783677041000.0,1783677041259.059,259.05908203125,169.109130859375,True,True,0,75,75,855,6840,18.694218994140623,26854.505136446227,-7.05107,110.3992,-7.051075,110.3993,1,DELIVERY,0.141,80,66,12.74
76,2026-07-10 16:50:41.478,471,1783677041000.0,1783677041477.706,477.7060546875,218.64697265625,True,True,0,76,76,855,6840,18.912865966796875,26905.7054014634,-7.05107,110.3992,-7.051074,110.3993,1,DELIVERY,0.142,81,66,12.74
77,2026-07-10 16:50:41.729,472,1783677041000.0,1783677041728.577,728.576904296875,250.870849609375,True,True,0,77,77,856,6848,19.16373681640625,26910.826679611582,-7.05107,110.3992,-7.051074,110.3993,1,DELIVERY,0.142,81,66,12.74
78,2026-07-10 16:50:42.036,473,1783677042000.0,1783677042036.285,36.284912109375,692.2919921875,True,True,0,78,78,854,6832,19.47144482421875,26836.426609187998,-7.05107,110.3992,-7.051074,110.3993,1,DELIVERY,0.164,9,9,12.73
79,2026-07-10 16:50:42.124,474,1783677042000.0,1783677042124.51,124.510009765625,88.22509765625,True,True,0,79,79,862,6896,19.559669921875,27067.941438412967,-7.05107,110.3992,-7.051074,110.3993,1,DELIVERY,0.123,69,66,12.73
80,2026-07-10 16:50:42.289,475,1783677042000.0,1783677042289.064,289.06396484375,164.553955078125,True,True,0,80,80,861,6888,19.724223876953126,27191.336061981903,-7.05107,110.3992,-7.051074,110.3993,1,DELIVERY,0.123,79,66,12.73
81,2026-07-10 16:50:42.485,476,1783677042000.0,1783677042484.907,484.906982421875,195.843017578125,True,True,0,81,81,856,6848,19.92006689453125,27267.779916397805,-7.05107,110.3992,-7.051073,110.3993,1,DELIVERY,0.152,79,67,12.73
82,2026-07-10 16:50:43.333,477,1783677042000.0,1783677043332.486,1332.486083984375,847.5791015625,True,True,0,82,82,858,6864,20.76764599609375,26485.428348665933,-7.05107,110.3992,-7.051073,110.3993,1,DELIVERY,0.152,79,67,12.73
83,2026-07-10 16:50:43.335,478,1783677043000.0,1783677043334.575,334.574951171875,997.9111328125,True,True,0,83,83,859,6872,20.76973486328125,26813.630682621904,-7.05107,110.3992,-7.051073,110.3993,1,DELIVERY,0.152,6,6,12.73
84,2026-07-10 16:50:43.450,479,1783677043000.0,1783677043450.461,450.4609375,115.885986328125,True,True,0,84,84,855,6840,20.885620849609374,26992.350577432986,-7.05107,110.3992,-7.051073,110.3993,1,DELIVERY,0.169,3,69,12.74
85,2026-07-10 16:50:43.452,480,1783677043000.0,1783677043451.774,451.77392578125,1.31298828125,True,True,0,85,85,862,6896,20.886933837890624,27320.81235230407,-7.051069,110.3992,-7.051073,110.3993,1,DELIVERY,0.095,27,51,12.74
86,2026-07-10 16:50:43.549,481,1783677043000.0,1783677043549.365,549.364990234375,97.591064453125,True,True,0,86,86,861,6888,20.98452490234375,27521.995503243215,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.105,42,66,12.74
87,2026-07-10 16:50:43.724,482,1783677043000.0,1783677043723.943,723.943115234375,174.578125,True,True,0,87,87,861,6888,21.15910302734375,27620.45249483181,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.105,78,69,12.74
88,2026-07-10 16:50:44.361,484,1783677044000.0,1783677044361.471,361.470947265625,362.47216796875,True,True,0,88,88,856,6848,21.796630859375,27126.76118684125,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.104,63,63,12.77
89,2026-07-10 16:50:44.380,485,1783677044000.0,1783677044380.492,380.491943359375,19.02099609375,True,True,0,89,89,860,6880,21.81565185546875,27418.479354310708,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.076,29,27,12.77
90,2026-07-10 16:50:44.666,486,1783677044000.0,1783677044666.497,666.4970703125,286.005126953125,True,True,0,90,90,862,6896,22.101656982421876,27375.68502131823,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.079,-31,-33,12.77
91,2026-07-10 16:50:44.767,487,1783677044000.0,1783677044767.406,767.406005859375,100.908935546875,True,True,0,91,91,862,6896,22.20256591796875,27561.859393231112,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.079,-69,-78,12.77
92,2026-07-10 16:50:45.069,488,1783677045000.0,1783677045068.678,68.677978515625,698.72802734375,True,True,0,92,92,864,6912,22.503837890625,27500.020352431206,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.079,-69,-78,12.77
93,2026-07-10 16:50:45.176,489,1783677045000.0,1783677045175.913,175.9130859375,107.235107421875,True,True,0,93,93,859,6872,22.611072998046875,27673.52084768599,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.04,-15,-60,12.77
94,2026-07-10 16:50:45.386,490,1783677045000.0,1783677045386.43,386.429931640625,210.516845703125,True,True,0,94,94,866,6928,22.82158984375,27721.81974750814,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,0.008,-45,-78,12.77
95,2026-07-10 16:50:45.583,491,1783677045000.0,1783677045582.885,582.885009765625,196.455078125,True,True,0,95,95,864,6912,23.018044921875,27785.504901512817,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,-0.019,-35,-39,12.77
96,2026-07-10 16:50:45.786,492,1783677045000.0,1783677045786.276,786.27587890625,203.390869140625,True,True,0,96,96,861,6888,23.221435791015626,27838.760954226345,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,-0.019,28,24,12.77
97,2026-07-10 16:50:46.230,493,1783677046000.0,1783677046230.397,230.39697265625,555.87890625,True,True,0,97,97,859,6872,23.665556884765625,27606.702989548954,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,-0.019,77,69,12.77
98,2026-07-10 16:50:46.309,494,1783677046000.0,1783677046308.776,308.77587890625,78.37890625,True,True,0,98,98,861,6888,23.743935791015623,27805.668184539845,-7.051069,110.3992,-7.051072,110.3993,1,DELIVERY,-0.009,-57,-57,12.73
99,2026-07-10 16:50:46.406,495,1783677046000.0,1783677046405.65,405.64990234375,96.8740234375,True,True,0,99,99,862,6896,23.840809814453124,27981.935395314198,-7.051072,110.3992,-7.051072,110.3993,1,DELIVERY,0.011,-39,-15,12.73
